       290149377 function calls (285317559 primitive calls) in 474.401 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23    0.000    0.000    0.000    0.000 __init__.py:1278(setLevel)
     1074    0.005    0.000    0.371    0.000 __init__.py:1284(debug)
     2288    0.001    0.000    0.001    0.000 __init__.py:129(deprecated_argument)
      276    0.001    0.000    0.087    0.000 __init__.py:1296(info)
        4    0.000    0.000    0.001    0.000 __init__.py:1308(warning)
       35    0.000    0.000    0.219    0.006 __init__.py:1325(error)
     2456    0.020    0.000    0.897    0.000 __init__.py:1357(log)
     3497    0.027    0.000   26.399    0.008 __init__.py:137(_process_queue)
     3803    0.037    0.000    0.072    0.000 __init__.py:1374(findCaller)
       20    0.000    0.000    0.001    0.000 __init__.py:14(_get_mwlist_from_settings)
       17    0.000    0.000    0.000    0.000 __init__.py:140(__init__)
     3803    0.036    0.000    0.266    0.000 __init__.py:1404(makeRecord)
      540    0.001    0.000    0.002    0.000 __init__.py:141(getint)
     3803    0.023    0.000    1.528    0.000 __init__.py:1419(_log)
     3803    0.011    0.000    1.168    0.000 __init__.py:1444(handle)
       41    0.000    0.000    0.000    0.000 __init__.py:1454(addHandler)
       38    0.000    0.000    0.000    0.000 __init__.py:1465(removeHandler)
     3803    0.068    0.000    1.153    0.000 __init__.py:1498(callHandlers)
  1468220   11.401    0.000   18.149    0.000 __init__.py:152(_replace_cdata_list_attribute_values)
     5005    0.013    0.000    0.013    0.000 __init__.py:1528(getEffectiveLevel)
      144    0.000    0.000    0.001    0.000 __init__.py:153(getfloat)
     3845    0.011    0.000    0.018    0.000 __init__.py:1542(isEnabledFor)
     3803    0.006    0.000    0.011    0.000 __init__.py:157(<lambda>)
     1139    0.002    0.000    0.002    0.000 __init__.py:1594(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:16(DownloadHandlers)
     1139    0.005    0.000    0.005    0.000 __init__.py:1608(process)
     1749    0.015    0.000   26.335    0.015 __init__.py:161(_download)
       81    0.000    0.000    0.000    0.000 __init__.py:165(getlist)
